Ticker,Date,Open,High,Low,Close,Volume
MSFT,2026/02/10,418.66440278178237,422.7151545880433,411.76017861216997,412.328857421875,44857900
MSFT,2026/02/11,415.2322299614449,415.51159110220135,400.096793508188,403.4491271972656,42491000
MSFT,2026/02/12,404.07770370563327,405.2749831551046,397.1036315998776,400.9248962402344,40802400
MSFT,2026/02/13,403.528974460687,404.61648859375555,397.1435245648219,400.4060974121094,34091600
MSFT,2026/02/17,398.31087932693146,399.60790672873594,393.6315571718042,395.95623779296875,32078800
MSFT,2026/02/18,397.2233488345012,401.6432531481791,395.41747315874426,398.69000244140625,23223400
MSFT,2026/02/19,400.69000244140625,404.42999267578125,396.6700134277344,398.4599914550781,28234000
MSFT,2026/02/20,396.1099853515625,400.1199951171875,395.1600036621094,397.2300109863281,34015200
MSFT,2026/02/23,395.0,395.3599853515625,383.1000061035156,384.4700012207031,43238300
MSFT,2026/02/24,384.1400146484375,389.3599853515625,381.7099914550781,389.0,33884700
MSFT,2026/02/25,390.5299987792969,401.4700012207031,390.1600036621094,400.6000061035156,43625500
MSFT,2026/02/26,404.7099914550781,407.489990234375,398.739990234375,401.7200012207031,34405900
MSFT,2026/02/27,390.8800048828125,396.82000732421875,389.8800048828125,392.739990234375,51367200
MSFT,2026/03/02,392.8599853515625,401.19000244140625,390.6300048828125,398.54998779296875,35474900
MSFT,2026/03/03,393.1400146484375,406.70001220703125,392.6700134277344,403.92999267578125,38199200
MSFT,2026/03/04,401.2699890136719,411.0299987792969,400.30999755859375,405.20001220703125,35808000
MSFT,2026/03/05,404.4200134277344,411.6099853515625,404.3999938964844,410.67999267578125,39001300
MSFT,2026/03/06,409.20001220703125,413.04998779296875,408.510009765625,408.9599914550781,31123900
MSFT,2026/03/09,404.9200134277344,410.2099914550781,403.5,409.4100036621094,30073800
MSFT,2026/03/10,410.0299987792969,410.20001220703125,402.94000244140625,405.0299987792969,7678312
